Statement,Nickname,URL
Copyright Not Evaluated,CNE,http://rightsstatements.org/vocab/CNE/1.0/
In Copyright - Educational Use Permitted,InC-EDU,http://rightsstatements.org/vocab/InC-EDU/1.0/
In Copyright - Non-Commercial Use Permitted,InC-NC,http://rightsstatements.org/vocab/InC-NC/1.0/
In Copyright - EU Orphan Work,InC-OW-EU,http://rightsstatements.org/vocab/InC-OW-EU/1.0/
In Copyright - Rights-holders Unlocatable or Unidentificable,InC-RUU,http://rightsstatements.org/vocab/InC-RUU/1.0/
In Copyright,InC,http://rightsstatements.org/vocab/InC/1.0/
No Known Copyright Restrictions,NKC,http://rightsstatements.org/vocab/NKC/1.0/
No Copyright - Contractual Restrictions,NoC-CR,http://rightsstatements.org/vocab/NoC-CR/1.0/
No Copyright - Non-Commercial Use Only,NoC-NC,http://rightsstatements.org/vocab/NoC-NC/1.0/
No Copyright - Other Known Legal Restrictions,NoC-OKLR,http://rightsstatements.org/vocab/NoC-OKLR/1.0/
No Copyright - United States,NoC-US,http://rightsstatements.org/vocab/NoC-US/1.0/
Copyright Undetermined,UND,http://rightsstatements.org/vocab/UND/1.0/
Creative Commons Attribution-NonCommercial-NoDerivs,CC BY-NC-ND 4.0,https://creativecommons.org/licenses/by-nc-nd/4.0
Creative Commons Attribution-NonCommercial-ShareAlike,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0
Creative Commons Attribution-NonCommercial,CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0
Creative Commons Attribution-NoDerivs,CC BY-ND 4.0,https://creativecommons.org/licenses/by-nd/4.0
Creative Commons Attribution-Share Alike 2.0 Generic,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0/
Creative Commons Attribution-Share Alike 2.5 Generic,CC BY-SA 2.5,https://creativecommons.org/licenses/by-sa/2.5/
Creative Commons Attribution-Share Alike 3.0 Unported,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0/
Creative Commons Attribution-Share Alike 4.0 International,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/
Creative Commons Attribution 2.0 Generic,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/
Creative Commons Attribution 3.0 Unported,CC BY 3.0,https://creativecommons.org/licenses/by/3.0/
Creative Commons Attribution 4.0 International,CC BY 4.0,https://creativecommons.org/licenses/by/4.0
Public Domain,PDM,https://creativecommons.org/publicdomain/mark/1.0/
Creative Commons Universal Public Domain Dedication,CC0,https://creativecommons.org/publicdomain/zero/1.0/
Open Data Commons Attribution License,ODC-BY,https://opendatacommons.org/licenses/by/1-0/
